"","ID","test","order","subjective","objective","word","reading_time","accuracy"
"237","CT","words_reading",7,"ON","OFF","coure",230,1
"238","CT","words_reading",7,"ON","OFF","fougue",60,1
"239","CT","words_reading",7,"ON","OFF","blanche",260,1
"240","CT","words_reading",7,"ON","OFF","détaler",300,0
"241","CT","words_reading",7,"ON","OFF","égaler",730,1
"242","CT","words_reading",7,"ON","OFF","boisson",480,1
"243","CT","words_reading",7,"ON","OFF","trapue",510,1
"244","CT","words_reading",7,"ON","OFF","visible",620,1
"245","CT","words_reading",7,"ON","OFF","foutue",490,1
"246","CT","words_reading",7,"ON","OFF","parage",350,1
"247","CT","words_reading",7,"ON","OFF","bonne",180,1
"248","CT","words_reading",7,"ON","OFF","toque",480,1
"249","CT","words_reading",7,"ON","OFF","concours",260,1
"250","CT","words_reading",7,"ON","OFF","ocre",290,1
"251","CT","words_reading",7,"ON","OFF","risible",190,1
"252","CT","words_reading",7,"ON","OFF","ogre",940,0
"253","CT","words_reading",8,"OFF","OFF","coureuse",510,1
"254","CT","words_reading",8,"OFF","OFF","toucher",430,0
"255","CT","words_reading",8,"OFF","OFF","rendre",220,1
"256","CT","words_reading",8,"OFF","OFF","proche",590,1
"257","CT","words_reading",8,"OFF","OFF","ogre",580,1
"258","CT","words_reading",8,"OFF","OFF","dure",540,1
"259","CT","words_reading",8,"OFF","OFF","poisson",270,1
"260","CT","words_reading",8,"OFF","OFF","contours",760,1
"261","CT","words_reading",8,"OFF","OFF","pure",850,1
"262","CT","words_reading",8,"OFF","OFF","blanche",530,1
"263","CT","words_reading",8,"OFF","OFF","visible",480,1
"264","CT","words_reading",8,"OFF","OFF","couveuse",730,1
"265","CT","words_reading",8,"OFF","OFF","donne",630,1
"266","CT","words_reading",8,"OFF","OFF","truelle",550,1
"267","CT","words_reading",8,"OFF","OFF","arpent",460,1
"268","CT","words_reading",8,"OFF","OFF","toque",410,1
"269","CT","words_reading",8,"OFF","OFF","coucher",680,1
"270","CT","words_reading",8,"OFF","OFF","ardent",340,1
"271","CT","words_reading",8,"OFF","OFF","napper",970,1
"272","CT","words_reading",8,"OFF","OFF","foutue",380,1
"273","CT","words_reading",8,"OFF","OFF","bouche",570,1
"274","CT","words_reading",8,"OFF","OFF","grise",660,1
"275","CT","words_reading",8,"OFF","OFF","reste",410,1
"276","CT","words_reading",8,"OFF","OFF","grasse",130,1
"277","CT","words_reading",8,"OFF","OFF","aride",170,1
"278","CT","words_reading",8,"OFF","OFF","veste",90,1
"279","CT","words_reading",8,"OFF","OFF","conquit",610,1
"280","CT","words_reading",8,"OFF","OFF","coure",780,1
"281","CT","words_reading",8,"OFF","OFF","lévrier",750,1
"282","CT","words_reading",8,"OFF","OFF","concours",750,1
"283","CT","words_reading",8,"OFF","OFF","égaler",380,0
"284","CT","words_reading",8,"OFF","OFF","fougue",650,0
"285","CT","words_reading",8,"OFF","OFF","capot",420,0
"286","CT","words_reading",8,"OFF","OFF","conduit",280,1
"287","CT","words_reading",8,"OFF","OFF","happer",520,0
"288","CT","words_reading",8,"OFF","OFF","étaler",300,0
"289","FAP","words_reading",1,"OFF","OFF","ocre",1400,1
"290","FAP","words_reading",1,"OFF","OFF","capot",740,1
"291","FAP","words_reading",1,"OFF","OFF","foutue",1010,1
"292","FAP","words_reading",1,"OFF","OFF","huÃ©e",590,1
"293","FAP","words_reading",1,"OFF","OFF","ogre",1520,1
"294","FAP","words_reading",1,"OFF","OFF","nuÃ©e",460,1
"295","FAP","words_reading",1,"OFF","OFF","coure",1200,1
"296","FAP","words_reading",1,"OFF","OFF","veste",1430,1
"297","FAP","words_reading",1,"OFF","OFF","crasse",1130,1
"298","FAP","words_reading",1,"OFF","OFF","proche",540,1
"299","FAP","words_reading",1,"OFF","OFF","aride",850,1
"300","FAP","words_reading",1,"OFF","OFF","pleuve",1410,0
"301","FAP","words_reading",1,"OFF","OFF","cadre",1390,1
"302","FAP","words_reading",1,"OFF","OFF","risible",520,1
"303","FAP","words_reading",1,"OFF","OFF","crains",630,1
"304","FAP","words_reading",1,"OFF","OFF","rendre",610,1
"305","FAP","words_reading",1,"OFF","OFF","avide",520,1
"306","FAP","words_reading",1,"OFF","OFF","parage",970,1
"307","FAP","words_reading",1,"OFF","OFF","pavage",1980,1
"308","FAP","words_reading",1,"OFF","OFF","crise",480,1
"309","FAP","words_reading",1,"OFF","OFF","ongle",840,1
"310","FAP","words_reading",1,"OFF","OFF","douche",2180,1
"311","FAP","words_reading",1,"OFF","OFF","truelle",700,1
"312","FAP","words_reading",1,"OFF","OFF","happer",1520,1
"313","FAP","words_reading",1,"OFF","OFF","visible",440,1
"314","FAP","words_reading",1,"OFF","OFF","oncle",470,1
"315","FAP","words_reading",1,"OFF","OFF","couve",1150,1
"316","FAP","words_reading",1,"OFF","OFF","dÃ©taler",990,1
"317","FAP","words_reading",1,"OFF","OFF","salivait",950,1
"318","FAP","words_reading",1,"OFF","OFF","Ã©taler",770,1
"319","FAP","words_reading",1,"OFF","OFF","bonne",420,1
"320","FAP","words_reading",1,"OFF","OFF","traque",1240,1
"321","FAP","words_reading",1,"OFF","OFF","toque",870,1
"322","FAP","words_reading",1,"OFF","OFF","reste",380,1
"323","FAP","words_reading",1,"OFF","OFF","toucher",440,1
"324","FAP","words_reading",1,"OFF","OFF","conquit",700,1
"325","FAP","words_reading",2,"ON","OFF","coucher",1340,1
"326","FAP","words_reading",2,"ON","OFF","salirait",640,1
"327","FAP","words_reading",2,"ON","OFF","traque",560,1
"328","FAP","words_reading",2,"ON","OFF","pure",510,1
"329","FAP","words_reading",2,"ON","OFF","reste",550,1
"330","FAP","words_reading",2,"ON","OFF","poisson",680,1
"331","FAP","words_reading",2,"ON","OFF","dÃ©caler",1070,1
"332","FAP","words_reading",2,"ON","OFF","toucher",600,1
"333","FAP","words_reading",2,"ON","OFF","grasse",980,1
"334","FAP","words_reading",2,"ON","OFF","happer",410,1
"335","FAP","words_reading",2,"ON","OFF","fougue",1280,1
"336","FAP","words_reading",2,"ON","OFF","bouche",690,1
"337","FAP","words_reading",2,"ON","OFF","cabot",1010,1
"338","FAP","words_reading",2,"ON","OFF","blanche",560,0
"339","FAP","words_reading",2,"ON","OFF","lÃ©vrier",910,1
"340","FAP","words_reading",2,"ON","OFF","conduit",590,1
"341","FAP","words_reading",2,"ON","OFF","oncle",520,1
"342","FAP","words_reading",2,"ON","OFF","dure",420,1
"343","FAP","words_reading",2,"ON","OFF","comblais",750,1
"344","FAP","words_reading",2,"ON","OFF","boisson",2700,1
