"","ID","cohorte","stimulus","word_freq","pseudoword_type","lexicality","length","display_condition","rt","accuracy","time_of_each_apparition","time_of_each_disparition"
"5339","R2AofF","dyslexic_children","bande",3,0,"word",5,15,1021.9749998569,0,"743705.925,743772.535,743839.249,743905.911,743972.54,744039.027,744105.878,744172.532,744239.314,744305.906,744372.525,744439.109,744505.872,744572.496,744639.098,744705.893","743739.273,743805.928,743872.508,743939.351,744005.902,744072.533,744139.227,744205.916,744272.524,744339.197,744405.91,744472.529,744539.035,744605.833,744672.519"
"5340","R2AofF","dyslexic_children","aveur",0,2,"pseudoword",5,0.01,821.859999809298,1,"734289.34",""
"5341","R2AofF","dyslexic_children","cheusir",0,2,"pseudoword",7,0.01,744.152999999991,0,"479805.347",""
"5342","R2AofF","dyslexic_children","flux",1,0,"word",4,0.01,1087.93599985697,0,"326739.964",""
"5343","R2AofF","dyslexic_children","bage",0,4,"pseudoword",4,10,973.188999904611,0,"355022.911,355122.907,355222.904,355322.916,355422.897,355522.89,355622.914,355722.913,355822.891,355922.897","355072.801,355172.899,355272.771,355372.885,355472.886,355572.883,355672.893,355772.867,355872.813,355972.841"
"5344","R2AofF","dyslexic_children","disce",0,4,"pseudoword",5,0.01,477.126000000047,0,"538654.874",""
"5345","R2AofF","dyslexic_children","ibée",0,5,"pseudoword",4,15,1345.92499995232,1,"269123.875,269190.602,269257.355,269323.85,269390.593,269457.195,269523.843,269590.511,269657.097,269723.722,269790.553,269857.218,269923.841,269990.569,270057.223,270123.853,270190.588,270257.155,270323.831,270390.579,270457.214","269157.218,269223.731,269290.526,269357.232,269423.856,269490.586,269557.238,269623.845,269690.604,269757.202,269823.857,269890.629,269957.214,270023.836,270090.587,270157.067,270223.729,270290.504,270357.199,270423.858"
"5346","R2AofF","dyslexic_children","ostre",0,2,"pseudoword",5,10,1645.54599990463,1,"450689.054,450789.201,450889.216,450989.182,451089.204,451189.318,451288.98,451389.196,451489.108,451589.097,451689.173,451789.15,451888.943,451989.095,452089.213,452189.182,452289.17","450739.19,450839.169,450938.95,451039.23,451139.188,451239.32,451339.166,451439.02,451539.207,451639.193,451739.126,451838.974,451938.965,452039.19,452139.186,452239.216"
"5347","R2AofF","dyslexic_children","guitare",2,0,"word",7,0.01,844.653999952367,1,"700739.646",""
"5348","R2AofF","dyslexic_children","orrde",0,1,"pseudoword",5,15,1545.53200000001,1,"258723.968,258790.727,258857.345,258923.967,258990.687,259057.318,259123.753,259190.665,259257.336,259323.976,259390.726,259457.344,259523.977,259590.527,259657.318,259723.964,259790.625,259857.311,259923.961,259990.691,260057.301,260123.748,260190.708,260257.318","258757.351,258823.973,258890.705,258957.351,259023.978,259090.488,259157.268,259223.825,259290.723,259357.36,259423.949,259490.701,259557.332,259623.752,259690.713,259757.333,259823.963,259890.71,259957.337,260023.963,260090.455,260157.326,260223.96"
"5349","R2AofF","dyslexic_children","pressi",0,3,"pseudoword",6,0.01,1112.04399999999,1,"785405.456",""
"5350","R2AofF","dyslexic_children","regarber",0,5,"pseudoword",8,0.01,854.606999856944,0,"408072.293",""
"5351","R2AofF","dyslexic_children","occuger",0,6,"pseudoword",7,0.01,2304.86900000001,1,"237374.131",""
"5352","R2AofF","dyslexic_children","photo",4,0,"word",5,10,722.542999952333,1,"770022.257,770122.26,770222.27,770322.253,770422.211,770522.252,770622.247,770722.253","770072.271,770172.059,770272.184,770372.14,770472.178,770572.168,770672.174"
"5353","R2AofF","dyslexic_children","récent",2,0,"word",6,15,477.957999999984,0,"810138.542,810205.208,810271.806,810338.52,810404.986,810471.781,810538.544,810605.122","810171.755,810238.535,810305.198,810371.871,810438.467,810505.166,810571.788"
"5354","R2AofF","dyslexic_children","tuor",0,1,"pseudoword",4,15,861.281999904604,1,"398255.818,398322.289,398389.184,398455.792,398522.453,398589.188,398655.79,398722.421,398788.98,398855.789,398922.423,398989.175,399055.79","398289.012,398355.75,398422.368,398489.191,398555.863,398622.376,398689.16,398755.809,398822.231,398889.18,398955.806,399022.378,399089.165"
"5355","R2AofF","dyslexic_children","baptême",1,0,"word",7,0.01,1445.54899990465,0,"310206.551",""
"5356","R2AofF","dyslexic_children","soda",2,0,"word",4,0.01,1362.65099990461,1,"752522.449",""
"5357","R2AofF","dyslexic_children","lave",1,0,"word",4,15,506.53599995235,1,"812871.764,812938.278,813005.099,813071.792,813138.506,813205.169,813271.789,813338.515","812904.982,812971.716,813038.506,813105.149,813171.777,813238.521,813305.145,813371.763"
"5358","R2AofF","dyslexic_children","assiair",0,2,"pseudoword",7,15,643.964999904623,0,"605654.135,605720.725,605787.515,605853.988,605920.719,605987.502,606054.12,606120.712,606187.516,606254.127","605687.509,605754.125,605820.721,605887.277,605954.133,606020.713,606087.501,606154.124,606220.718,606287.509"
"5359","R2AofF","dyslexic_children","pourtant",3,0,"word",8,10,1072.87499985693,1,"696989.525,697089.604,697189.704,697289.623,697389.695,697489.492,697589.609,697689.629,697789.685,697889.575,697989.575","697039.671,697139.721,697239.608,697339.657,697439.617,697539.674,697639.675,697739.702,697839.622,697939.575,698039.629"
"5360","R2AofF","dyslexic_children","fixe",2,0,"word",4,15,511.887999952305,1,"440105.912,440172.583,440239.326,440305.958,440372.449,440439.226,440505.974,440572.507","440139.334,440205.973,440272.586,440339.321,440405.751,440472.49,440539.301,440605.944"
"5361","R2AofF","dyslexic_children","rouson",0,2,"pseudoword",6,0.01,2072.48499990464,1,"566721.115",""
"5362","R2AofF","dyslexic_children","gider",0,4,"pseudoword",5,10,994.905999904615,1,"821021.694,821121.634,821221.67,821321.686,821421.685,821521.672,821621.65,821721.618,821821.675,821921.686","821071.53,821171.648,821271.67,821371.693,821472.014,821571.547,821671.612,821771.629,821871.663,821971.764"
"5363","R2AofF","dyslexic_children","hors",3,0,"word",4,10,944.529999856954,0,"738439.37,738539.194,738639.197,738739.282,738839.205,738939.358,739039.208,739139.254,739239.342,739339.367","738489.104,738589.145,738689.165,738789.19,738889.297,738989.05,739089.204,739189.195,739289.189"
"5364","R2AofF","dyslexic_children","aiscrout",0,3,"pseudoword",8,0.01,1794.58399980926,1,"207891.116",""
"5365","R2AofF","dyslexic_children","niveau",3,0,"word",6,15,1978.58599995228,1,"663606.714,663673.393,663740.116,663806.787,663873.396,663940.113,664006.741,664073.236,664140.108,664206.785,664273.389,664340.025,664406.77,664473.383,664539.918,664606.78,664673.394,664740.054,664806.777,664873.379,664939.988,665006.792,665073.174,665140.097,665206.757,665273.415,665340.1,665406.767,665473.375,665540.098","663640.111,663706.755,663773.396,663840.098,663906.778,663973.398,664039.922,664106.703,664173.41,664240.045,664306.746,664373.376,664440.098,664506.766,664573.198,664639.856,664706.791,664773.381,664840.004,664906.785,664973.386,665040.097,665106.769,665173.373,665239.99,665306.774,665373.377,665440.089,665506.771,665573.224"
"5366","R2AofF","dyslexic_children","pion",1,0,"word",4,10,839.525000000023,0,"416188.975,416288.768,416388.988,416488.953,416588.895,416688.99,416788.963,416888.966,416988.943","416238.987,416338.905,416438.976,416538.733,416638.986,416738.973,416838.977,416938.982"
"5367","R2AofF","dyslexic_children","détecter",1,0,"word",8,10,1661.08099980926,1,"334923.119,335023.129,335123.132,335223.127,335323.12,335423.116,335523.128,335623.115,335722.88,335823.074,335923.076,336023.147,336123.144,336223.1,336323.098,336423.05,336522.977","334973.061,335072.917,335173.04,335273.043,335373.118,335473.105,335572.97,335673.051,335773.108,335873.116,335973.115,336072.936,336173.045,336273.122,336373.117,336473.115,336572.956"
